date,Temp_C,Humidity_pct,Wind_Speed_kmh
2020-02-10,13.8,50,4.4
2020-02-11,14.0,50,2.5
2020-02-12,16.3,50,7.4
2020-02-13,19.6,50,12.8
2020-02-14,19.4,50,14.8
2020-02-15,18.1,50,12.9
2020-02-16,17.4,50,5.3
2020-02-17,17.6,50,6.9
2020-02-18,17.8,50,7.8
2020-02-19,17.9,50,6.7
2020-02-20,20.4,50,11.1
2020-02-21,16.8,50,11.3
2020-02-22,18.6,50,3.6
2020-02-23,19.2,50,2.7
2020-02-24,19.5,50,3.3
2020-02-25,19.4,50,3.8
2020-02-26,19.8,50,3.5
2020-02-27,20.3,50,3.6
2020-02-28,21.1,50,8.7
2020-02-29,20.2,50,10.8
2020-03-01,20.7,50,4.8
2020-03-02,21.6,50,2.3
2020-03-03,21.3,50,3.9
2020-03-04,20.8,50,5.5
2020-03-05,19.9,50,10.3
2020-03-06,16.3,50,12.0
2020-03-07,17.3,50,6.1
2020-03-08,18.0,50,4.9
2020-03-09,18.3,50,9.9
2020-03-10,18.9,50,4.9
2020-03-11,21.6,50,10.9
2020-03-12,21.7,50,9.1
2020-03-13,21.3,50,5.5
2020-03-14,18.5,50,6.0
2020-03-15,18.8,50,4.5
2020-03-16,19.9,50,5.8
2020-03-17,20.6,50,6.3
2020-03-18,22.0,50,6.2
2020-03-19,23.1,50,4.2
2020-03-20,23.8,50,3.8
2020-03-21,24.0,50,4.0
2020-03-22,23.9,50,3.8
2020-03-23,24.4,50,3.6
2020-03-24,24.3,50,4.5
2020-03-25,24.9,50,4.7
2020-03-26,24.7,50,10.1
2020-03-27,21.7,50,8.0
2020-03-28,21.8,50,6.2
2020-03-29,24.1,50,10.6
2020-03-30,23.6,50,9.4
2020-03-31,24.3,50,6.3
2020-04-01,25.4,50,6.1
2020-04-02,25.1,50,10.8
2020-04-03,24.0,50,8.8
2020-04-04,24.3,50,6.5
2020-04-05,25.6,50,4.7
2020-04-06,27.6,50,5.6
2020-04-07,27.3,50,7.7
2020-04-08,26.6,50,8.0
2020-04-09,25.5,50,5.7
2020-04-10,26.9,50,4.9
2020-04-11,28.7,50,4.2
2020-04-12,29.1,50,7.4
2020-04-13,30.3,50,6.7
2020-04-14,31.1,50,4.2
2020-04-15,31.1,50,6.7
2020-04-16,30.6,50,5.4
2020-04-17,30.2,50,8.3
2020-04-18,29.3,50,7.6
2020-04-19,27.3,50,6.2
2020-04-20,26.4,50,5.7
2020-04-21,27.0,50,5.2
2020-04-22,27.9,50,5.2
2020-04-23,28.3,50,5.0
2020-04-24,29.1,50,5.6
2020-04-25,29.6,50,6.4
2020-04-26,24.4,50,9.3
2020-04-27,27.1,50,12.1
2020-04-28,28.9,50,7.0
2020-04-29,29.5,50,5.3
2020-04-30,30.3,50,8.0
2020-05-01,31.3,50,7.5
2020-05-02,31.0,50,10.4
2020-05-03,27.2,50,9.1
2020-05-04,28.4,50,6.5
2020-05-05,30.7,50,5.7
2020-05-06,29.5,50,7.0
2020-05-07,29.5,50,6.5
2020-05-08,31.3,50,5.2
2020-05-09,32.6,50,6.4
2020-05-10,30.4,50,10.4
2020-05-11,29.3,50,8.4
2020-05-12,30.4,50,7.1
2020-05-13,30.4,50,6.8
2020-05-14,30.8,50,5.3
2020-05-15,31.4,50,8.9
2020-05-16,31.9,50,7.6
2020-05-17,32.3,50,5.6
2020-05-18,32.5,50,5.8
2020-05-19,32.2,50,3.9
2020-05-20,31.9,50,6.9
2020-05-21,33.4,50,9.5
2020-05-22,34.2,50,5.2
2020-05-23,35.5,50,6.6
2020-05-24,36.7,50,8.1
2020-05-25,36.0,50,9.7
2020-05-26,36.7,50,10.7
2020-05-27,37.2,50,8.8
2020-05-28,34.1,50,14.1
2020-05-29,28.4,50,14.8
2020-05-30,29.2,50,8.8
2020-05-31,25.8,50,7.7
2020-06-01,29.4,50,4.4
2020-06-02,30.9,50,6.5
2020-06-03,30.8,50,4.9
2020-06-04,29.5,50,5.4
2020-06-05,29.1,50,5.8
2020-06-06,30.9,50,6.1
2020-06-07,29.3,50,5.3
2020-06-08,31.8,50,6.0
2020-06-09,34.3,50,4.9
2020-06-10,34.1,50,5.2
2020-06-11,34.1,50,4.7
2020-06-12,35.1,50,5.2
2020-06-13,33.9,50,6.5
2020-06-14,35.0,50,6.5
2020-06-15,35.2,50,8.2
2020-06-16,35.5,50,8.4
2020-06-17,35.5,50,9.1
2020-06-18,36.0,50,8.4
2020-06-19,35.7,50,9.4
2020-06-20,31.1,50,10.0
2020-06-21,31.9,50,5.8
2020-06-22,32.0,50,6.7
2020-06-23,33.4,50,8.9
2020-06-24,31.0,50,9.0
2020-06-25,31.4,50,4.9
2020-06-26,32.2,50,6.7
2020-06-27,34.8,50,11.8
2020-06-28,35.6,50,10.5
2020-06-29,35.2,50,9.0
2020-06-30,32.5,50,8.2
2020-07-01,33.6,50,5.2
2020-07-02,35.3,50,6.0
2020-07-03,35.1,50,7.7
2020-07-04,34.9,50,10.5
2020-07-05,28.4,50,8.2
2020-07-06,31.7,50,8.1
2020-07-07,30.9,50,11.6
2020-07-08,31.6,50,8.9
2020-07-09,32.2,50,6.2
2020-07-10,33.6,50,9.3
